strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,21,15,40,60,10058.58,0.59,4.1,-0.3,2025-07-04T09:40:07.294446
rsi_sma,21,15,40,65,10067.61,0.68,4.73,-0.3,2025-07-04T09:40:07.343240
rsi_sma,21,15,40,70,9992.36,-0.08,-3.5,-0.08,2025-07-04T09:40:07.391059
rsi_sma,21,15,35,60,9970.32,-0.3,-7.51,-0.3,2025-07-04T09:40:07.438441
rsi_sma,21,15,35,65,9970.32,-0.3,-7.51,-0.3,2025-07-04T09:40:07.485859
rsi_sma,21,15,35,70,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:07.533210
rsi_sma,21,15,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:07.580611
rsi_sma,21,15,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:07.628151
rsi_sma,21,15,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:07.675541
rsi_sma,21,20,40,60,10027.54,0.28,1.68,-0.45,2025-07-04T09:40:07.724552
rsi_sma,21,20,40,65,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:07.772366
rsi_sma,21,20,40,70,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:07.819639
rsi_sma,21,20,35,60,9955.03,-0.45,-6.97,-0.45,2025-07-04T09:40:07.867638
rsi_sma,21,20,35,65,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:07.915820
rsi_sma,21,20,35,70,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:07.963707
rsi_sma,21,20,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:08.011058
rsi_sma,21,20,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:08.058562
rsi_sma,21,20,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:08.105826
rsi_sma,21,30,40,60,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:08.153108
rsi_sma,21,30,40,65,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:08.200355
rsi_sma,21,30,40,70,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:08.247446
rsi_sma,21,30,35,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:08.294722
rsi_sma,21,30,35,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:08.342013
rsi_sma,21,30,35,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:08.390391
rsi_sma,21,30,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:08.438132
rsi_sma,21,30,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:08.485639
rsi_sma,21,30,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:08.533298
