strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,21,20,30,60,9570.35,-4.3,-3.01,-4.3,2025-07-04T09:40:57.606900
rsi_sma,21,20,30,65,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:57.655677
rsi_sma,21,20,30,70,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:57.704576
rsi_sma,21,30,40,60,9692.87,-3.07,-3.03,-3.07,2025-07-04T09:40:57.752762
rsi_sma,21,30,40,65,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:57.800543
rsi_sma,21,30,40,70,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:57.848504
rsi_sma,21,30,35,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:57.896376
rsi_sma,21,30,35,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:57.944502
rsi_sma,21,30,35,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:57.992593
rsi_sma,21,30,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:58.041163
rsi_sma,21,30,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:58.090349
rsi_sma,21,30,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:58.139044
