strategy,macd_short,macd_long,macd_signal,rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std,volume_threshold,capital_final,total_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,avg_win,avg_loss,timestamp
multi_indicator,10,24,9,16,25,70,20,1.8,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:58.524137
multi_indicator,10,24,9,16,25,70,20,1.8,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:58.399563
multi_indicator,10,26,9,16,30,70,20,2.0,1.0,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:13.897237
multi_indicator,10,26,9,16,30,70,20,2.0,1.2,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:13.996224
multi_indicator,10,26,9,16,30,75,20,2.0,1.0,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:14.664737
multi_indicator,10,26,9,16,30,75,20,2.0,1.2,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:14.754065
multi_indicator,10,26,9,16,25,75,20,2.0,1.0,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:13.095984
multi_indicator,10,26,9,16,25,75,20,2.0,1.2,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:13.188790
multi_indicator,10,26,9,16,25,70,20,2.0,1.0,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:12.311087
multi_indicator,10,26,9,16,25,70,20,2.0,1.2,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:12.404697
multi_indicator,10,26,9,14,30,70,20,2.0,1.0,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:10.766448
multi_indicator,10,26,9,14,30,70,20,2.0,1.2,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:10.876018
multi_indicator,10,26,9,14,30,75,20,2.0,1.0,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:11.532868
multi_indicator,10,26,9,14,30,75,20,2.0,1.2,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:11.632600
multi_indicator,10,26,9,14,25,70,20,2.0,1.2,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:09.316018
multi_indicator,10,26,9,14,25,70,20,2.0,1.0,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:09.209667
multi_indicator,10,26,9,14,25,75,20,2.0,1.2,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:10.079165
multi_indicator,10,26,9,14,25,75,20,2.0,1.0,9743.82,-2.56,-17.054,-2.56,29.41,2.814,17,2.19,-0.78,2025-07-22T21:29:09.991793
multi_indicator,12,26,7,16,25,70,20,2.0,1.2,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:33.088313
multi_indicator,12,26,7,16,25,70,20,2.0,1.0,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:32.962368
multi_indicator,12,26,7,16,25,75,20,2.0,1.2,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:34.044837
multi_indicator,12,26,7,16,25,75,20,2.0,1.0,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:33.928263
multi_indicator,12,26,7,14,30,75,20,2.0,1.0,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:31.985988
multi_indicator,12,26,7,14,30,75,20,2.0,1.2,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:32.102994
multi_indicator,12,26,7,14,30,70,20,2.0,1.0,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:31.007200
multi_indicator,12,26,7,14,30,70,20,2.0,1.2,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:31.119912
multi_indicator,12,26,7,14,25,70,20,2.0,1.2,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:29.228441
multi_indicator,12,26,7,14,25,70,20,2.0,1.0,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:29.098426
multi_indicator,12,26,7,14,25,75,20,2.0,1.2,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:30.185999
multi_indicator,12,26,7,14,25,75,20,2.0,1.0,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:30.070508
multi_indicator,12,26,7,16,30,75,20,2.0,1.0,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:35.770125
multi_indicator,12,26,7,16,30,75,20,2.0,1.2,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:35.875115
multi_indicator,12,26,7,16,30,70,20,2.0,1.0,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:34.878613
multi_indicator,12,26,7,16,30,70,20,2.0,1.2,9743.78,-2.56,-17.056,-2.56,29.41,2.81,17,2.19,-0.78,2025-07-22T21:29:34.988845
multi_indicator,12,24,7,16,25,75,20,1.8,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:19.119436
multi_indicator,12,24,7,16,25,75,20,1.8,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:19.034886
multi_indicator,12,24,7,16,30,70,20,2.0,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:20.078444
multi_indicator,12,24,7,16,30,70,20,2.0,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:19.963866
multi_indicator,12,24,7,16,30,70,20,1.8,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:19.865513
multi_indicator,12,24,7,16,30,70,20,1.8,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:19.766565
multi_indicator,12,24,7,16,25,70,20,2.0,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:18.589364
multi_indicator,12,24,7,16,25,70,20,2.0,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:18.490212
multi_indicator,12,24,7,16,25,70,20,1.8,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:18.384278
multi_indicator,12,24,7,16,25,70,20,1.8,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:18.290214
multi_indicator,12,24,7,16,25,75,20,2.0,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:19.299642
multi_indicator,12,24,7,16,25,75,20,2.0,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:19.215441
multi_indicator,12,24,7,14,30,75,20,1.8,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:17.472278
multi_indicator,12,24,7,14,30,75,20,1.8,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:17.558825
multi_indicator,12,24,7,14,30,75,20,2.0,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:17.648729
multi_indicator,12,24,7,14,30,75,20,2.0,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:17.733660
multi_indicator,12,24,7,16,30,75,20,1.8,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:20.620429
multi_indicator,12,24,7,16,30,75,20,1.8,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:20.722317
